Date,California,Colorado,Florida,Massachusetts,Minnesota,New York,Ohio,Texas,Washington,
May-2000,,,,,,,,,,
Jun-2000,1.669,1.636,,,1.757,1.702,,1.54,,
Jul-2000,1.754,1.665,,,1.478,1.75,,1.549,,
Aug-2000,1.72,1.572,,,1.489,1.678,,1.46,,
Sep-2000,1.869,1.61,,,1.614,1.668,,1.491,,
Oct-2000,1.856,1.609,,,1.544,1.664,,1.468,,
Nov-2000,1.811,1.598,,,1.511,1.663,,1.455,,
Dec-2000,1.726,1.527,,,1.456,1.632,,1.391,,
Jan-2001,1.646,1.478,,,1.561,1.591,,1.405,,
Feb-2001,1.682,1.512,,,1.569,1.577,,1.422,,
Mar-2001,1.738,1.472,,,1.426,1.546,,1.361,,
Apr-2001,1.837,1.601,,,1.624,1.633,,1.522,,
May-2001,1.993,1.789,,,1.821,1.818,,1.633,,
Jun-2001,1.975,1.766,,,1.622,1.804,,1.566,,
Jul-2001,1.817,1.54,,,1.384,1.671,,1.357,,
Aug-2001,1.608,1.472,,,1.601,1.574,,1.336,,
Sep-2001,1.708,1.669,,,1.739,1.561,,1.422,,
Oct-2001,1.592,1.466,,,1.29,1.469,,1.269,,
Nov-2001,1.403,1.215,,,1.176,1.339,,1.116,,
Dec-2001,1.204,1.102,,,1.102,1.236,,1.052,,
Jan-2002,1.231,1.149,,,1.149,1.253,,1.082,,
Feb-2002,1.319,1.154,,,1.12,1.252,,1.086,,
Mar-2002,1.507,1.274,,,1.324,1.332,,1.224,,
Apr-2002,1.657,1.42,,,1.434,1.516,,1.375,,
May-2002,1.617,1.425,,,1.364,1.541,,1.372,,
Jun-2002,1.633,1.397,,,1.345,1.526,,1.35,,
Jul-2002,1.648,1.464,,,1.443,1.524,,1.343,,
Aug-2002,1.637,1.49,,,1.444,1.562,,1.354,,
Sep-2002,1.627,1.461,,,1.442,1.567,,1.367,,
Oct-2002,1.579,1.52,,,1.548,1.585,,1.433,,
Nov-2002,1.624,1.497,,,1.433,1.601,,1.395,,
Dec-2002,1.585,1.426,,,1.383,1.606,,1.365,,
Jan-2003,1.662,1.495,,,1.445,1.647,,1.45,,
Feb-2003,1.853,1.613,,,1.624,1.757,,1.589,,
Mar-2003,2.15,1.679,,,1.623,1.812,,1.625,,
Apr-2003,2.092,1.587,,,1.477,1.764,,1.517,,
May-2003,1.89,1.514,,,1.457,1.679,,1.414,,
Jun-2003,1.809,1.513,1.512,1.534,1.484,1.61,1.481,1.416,1.607,
Jul-2003,1.789,1.522,1.561,1.553,1.533,1.633,1.509,1.458,1.639,
Aug-2003,1.913,1.636,1.654,1.656,1.666,1.729,1.639,1.54,1.798,
Sep-2003,2.068,1.696,1.679,1.821,1.604,1.894,1.658,1.549,1.894,
Oct-2003,1.839,1.56,1.575,1.724,1.562,1.806,1.572,1.447,1.677,
Nov-2003,1.74,1.527,1.536,1.606,1.498,1.737,1.517,1.424,1.625,
Dec-2003,1.681,1.469,1.535,1.554,1.479,1.698,1.446,1.422,1.572,
Jan-2004,1.722,1.538,1.66,1.624,1.587,1.754,1.615,1.524,1.64,
Feb-2004,1.914,1.589,1.712,1.697,1.639,1.83,1.687,1.579,1.729,
Mar-2004,2.143,1.725,1.797,1.753,1.7,1.903,1.73,1.635,1.851,
Apr-2004,2.185,1.845,1.856,1.78,1.767,1.926,1.798,1.702,1.961,
May-2004,2.298,1.988,2.005,2.02,1.973,2.13,1.974,1.879,2.246,
Jun-2004,2.322,1.98,2.036,2.112,1.834,2.208,1.855,1.889,2.207,
Jul-2004,2.233,1.937,1.976,1.991,1.836,2.132,1.875,1.829,2.037,
Aug-2004,2.131,1.911,1.87,1.95,1.816,2.076,1.876,1.812,1.993,
Sep-2004,2.115,1.893,1.929,1.923,1.824,2.044,1.895,1.797,2.038,
Oct-2004,2.376,1.992,2.047,2.028,1.935,2.165,1.991,1.91,2.101,
Nov-2004,2.35,1.97,2.068,2.037,1.913,2.175,1.932,1.892,2.084,
Dec-2004,2.143,1.863,1.979,1.928,1.741,2.098,1.776,1.762,1.956,
Jan-2005,2.016,1.809,1.939,1.875,1.822,2.028,1.871,1.773,1.87,
Feb-2005,2.163,1.899,1.987,1.935,1.896,2.06,1.945,1.841,1.995,
Mar-2005,2.346,2.124,2.154,2.038,2.068,2.172,2.154,2.008,2.186,
Apr-2005,2.596,2.273,2.323,2.203,2.091,2.343,2.203,2.169,2.462,
May-2005,2.52,2.196,2.244,2.207,1.985,2.352,2.075,2.088,2.447,
Jun-2005,2.41,2.144,2.218,2.211,2.082,2.326,2.137,2.101,2.319,
Jul-2005,2.559,2.289,2.329,2.399,2.184,2.471,2.266,2.227,2.458,
Aug-2005,2.721,2.482,2.536,2.559,2.431,2.633,2.482,2.446,2.651,
Sep-2005,3.032,2.988,2.936,3.093,2.725,3.225,2.872,2.843,2.959,
Oct-2005,2.926,2.806,2.88,2.726,2.486,2.898,2.63,2.72,2.827,
Nov-2005,2.57,2.374,2.427,2.231,2.119,2.515,2.124,2.205,2.478,
Dec-2005,2.319,2.195,2.273,2.189,2.165,2.413,2.249,2.161,2.232,
Jan-2006,2.424,2.279,2.417,2.382,2.252,2.602,2.348,2.289,2.294,
Feb-2006,2.54,2.259,2.371,2.305,2.2,2.539,2.234,2.215,2.322,
Mar-2006,2.624,2.433,2.512,2.366,2.443,2.579,2.497,2.393,2.473,
Apr-2006,2.925,2.709,2.851,2.728,2.698,2.933,2.757,2.774,2.76,
May-2006,3.337,2.851,2.925,2.993,2.775,3.143,2.828,2.86,3.147,
Jun-2006,3.26,2.843,2.877,3.029,2.846,3.086,2.845,2.825,3.124,
Jul-2006,3.26,2.977,2.986,3.068,2.985,3.173,2.991,2.906,3.077,
Aug-2006,3.212,3.044,3.002,3.041,2.971,3.181,2.83,2.868,3.094,
Sep-2006,2.937,2.823,2.694,2.663,2.372,2.857,2.307,2.443,2.905,
Oct-2006,2.593,2.396,2.306,2.26,2.194,2.49,2.172,2.149,2.599,
Nov-2006,2.508,2.198,2.289,2.224,2.213,2.422,2.271,2.137,2.544,
Dec-2006,2.587,2.215,2.373,2.35,2.254,2.544,2.298,2.231,2.649,
Jan-2007,2.616,2.17,2.328,2.316,2.088,2.523,2.186,2.143,2.64,
Feb-2007,2.713,2.226,2.307,2.261,2.255,2.466,2.37,2.16,2.5,
Mar-2007,3.105,2.528,2.614,2.554,2.503,2.788,2.54,2.434,2.77,
Apr-2007,3.339,2.821,2.895,2.791,2.728,3.029,2.819,2.761,3.124,
May-2007,3.485,3.284,3.094,3.046,3.186,3.223,3.26,3.016,3.441,
Jun-2007,3.329,3.238,3.053,3.036,2.968,3.232,3.049,2.973,3.255,
Jul-2007,3.174,3.117,2.972,2.952,3.036,3.165,2.897,2.897,3.052,
Aug-2007,2.948,2.905,2.804,2.792,2.883,3.02,2.787,2.739,2.879,
Sep-2007,2.922,2.912,2.839,2.701,2.962,2.949,2.933,2.72,2.921,
Oct-2007,3.112,2.836,2.889,2.733,2.8,2.984,2.829,2.726,3.05,
Nov-2007,3.394,3.069,3.167,3.031,3.042,3.275,3.135,2.986,3.271,
Dec-2007,3.353,2.925,3.127,3.069,2.907,3.321,3.025,2.925,3.205,
Jan-2008,3.296,2.899,3.157,3.083,2.951,3.336,3.076,2.969,3.171,
Feb-2008,3.231,2.979,3.135,3.032,2.983,3.295,3.068,2.967,3.178,
Mar-2008,3.609,3.16,3.348,3.15,3.102,3.409,3.245,3.195,3.509,
Apr-2008,3.846,3.402,3.534,3.371,3.363,3.609,3.417,3.415,3.64,
May-2008,4.015,3.709,3.828,3.778,3.68,3.991,3.829,3.712,3.908,
Jun-2008,4.531,3.981,4.061,4.07,3.938,4.292,4.03,3.961,4.327,
Jul-2008,4.511,4.042,4.095,4.083,3.897,4.312,3.967,3.978,4.358,
Aug-2008,4.128,3.858,3.837,3.768,3.651,4.041,3.716,3.681,4.066,
Sep-2008,3.842,3.695,3.798,3.584,3.612,3.841,3.763,3.647,3.827,
Oct-2008,3.44,3.092,3.193,3.004,2.749,3.363,2.865,2.905,3.251,
Nov-2008,2.507,2.143,2.237,2.196,1.967,2.583,1.935,2.023,2.384,
Dec-2008,1.871,1.657,1.792,1.742,1.687,2.031,1.677,1.637,1.883,
Jan-2009,2.051,1.634,1.878,1.765,1.828,1.946,1.912,1.697,1.996,
Feb-2009,2.265,1.867,2.024,1.915,1.929,2.115,1.882,1.845,2.178,
Mar-2009,2.239,1.906,2.049,1.944,1.955,2.136,1.972,1.894,2.213,
Apr-2009,2.377,2.061,2.151,2.036,2.029,2.223,2.021,2.011,2.364,
May-2009,2.531,2.268,2.316,2.267,2.284,2.446,2.361,2.205,2.539,
Jun-2009,2.969,2.557,2.671,2.618,2.605,2.807,2.713,2.535,2.858,
Jul-2009,2.92,2.508,2.603,2.566,2.428,2.806,2.492,2.422,2.808,
Aug-2009,3.057,2.56,2.638,2.642,2.553,2.852,2.571,2.545,2.908,
Sep-2009,3.169,2.487,2.537,2.613,2.461,2.843,2.473,2.416,2.989,
Oct-2009,3.062,2.473,2.578,2.549,2.523,2.794,2.541,2.446,2.841,
Nov-2009,3.006,2.595,2.747,2.672,2.636,2.907,2.609,2.561,2.885,
Dec-2009,2.964,2.518,2.704,2.645,2.547,2.889,2.606,2.517,2.839,
Jan-2010,3.065,2.586,2.812,2.74,2.722,2.954,2.694,2.622,2.908,
Feb-2010,2.993,2.572,2.748,2.705,2.637,2.928,2.564,2.549,2.867,
Mar-2010,3.104,2.688,2.868,2.739,2.795,2.947,2.726,2.693,2.993,
Apr-2010,3.138,2.764,2.91,2.821,2.832,3.016,2.819,2.788,3.085,
May-2010,3.136,2.754,2.888,2.882,2.787,3.071,2.731,2.796,3.077,
Jun-2010,3.134,2.7,2.721,2.758,2.709,2.958,2.719,2.657,3.012,
Jul-2010,3.171,2.698,2.707,2.738,2.721,2.932,2.748,2.628,3.061,
Aug-2010,3.186,2.73,2.733,2.721,2.717,2.905,2.684,2.636,3.149,
Sep-2010,3.064,2.783,2.715,2.649,2.786,2.84,2.753,2.594,3.047,
Oct-2010,3.146,2.754,2.831,2.812,2.88,3.002,2.828,2.699,3.095,
Nov-2010,3.205,2.736,2.891,2.956,2.842,3.128,2.902,2.726,3.147,
Dec-2010,3.297,2.779,3.058,3.081,2.998,3.3,3.02,2.885,3.223,
Jan-2011,3.389,2.957,3.166,3.166,3.141,3.382,3.141,2.995,3.293,
Feb-2011,3.576,3.105,3.257,3.237,3.258,3.473,3.189,3.105,3.407,
Mar-2011,4.002,3.413,3.617,3.537,3.557,3.787,3.559,3.486,3.733,
Apr-2011,4.206,3.611,3.827,3.768,3.813,4.014,3.868,3.746,3.951,
May-2011,4.229,3.778,3.908,3.982,3.895,4.162,3.956,3.839,4.062,
Jun-2011,3.965,3.673,3.658,3.804,3.669,3.974,3.618,3.601,3.933,
Jul-2011,3.844,3.541,3.664,3.788,3.726,3.944,3.645,3.597,3.848,
Aug-2011,3.823,3.518,3.675,3.771,3.722,3.948,3.633,3.586,3.849,
Sep-2011,3.971,3.57,3.601,3.687,3.725,3.906,3.561,3.474,3.937,
Oct-2011,3.89,3.523,3.46,3.525,3.508,3.754,3.327,3.323,3.866,
Nov-2011,3.848,3.447,3.43,3.465,3.34,3.698,3.276,3.253,3.775,
Dec-2011,3.648,3.222,3.338,3.352,3.229,3.598,3.276,3.14,3.562,
Jan-2012,3.747,3.059,3.492,3.462,3.296,3.698,3.428,3.267,3.534,
Feb-2012,4.027,3.134,3.723,3.651,3.474,3.9,3.521,3.526,3.709,
Mar-2012,4.414,3.547,3.895,3.802,3.703,4.049,3.868,3.759,4.055,
Apr-2012,4.292,3.904,3.963,3.925,3.756,4.157,3.808,3.844,4.187,
May-2012,4.353,3.819,3.651,3.8,3.639,3.995,3.716,3.595,4.261,
Jun-2012,4.133,3.723,3.409,3.59,3.593,3.762,3.591,3.369,4.115,
Jul-2012,3.821,3.588,3.388,3.564,3.561,3.741,3.456,3.324,3.691,
Aug-2012,4.109,3.542,3.705,3.783,3.756,3.962,3.824,3.581,3.946,
Sep-2012,4.211,3.702,3.842,3.929,3.891,4.131,3.84,3.709,4.094,
Oct-2012,4.458,3.716,3.712,3.911,3.678,4.106,3.617,3.541,4.053,
Nov-2012,3.893,3.478,3.441,3.703,3.299,3.958,3.464,3.246,3.623,
Dec-2012,3.628,3.207,3.385,3.533,3.183,3.837,3.314,3.147,3.454,
Jan-2013,3.678,2.929,3.493,3.512,3.137,3.797,3.319,3.238,3.422,
Feb-2013,4.127,3.452,3.789,3.755,3.697,4.019,3.67,3.55,3.656,
Mar-2013,4.192,3.611,3.811,3.755,3.665,4.014,3.691,3.624,3.835,
Apr-2013,4.031,3.604,3.599,3.603,3.544,3.865,3.557,3.473,3.746,
May-2013,4.051,3.767,3.541,3.56,3.986,3.788,3.733,3.452,3.953,
Jun-2013,4.05,3.762,3.565,3.598,3.726,3.795,3.787,3.461,3.875,
Jul-2013,4.056,3.595,3.615,3.692,3.562,3.886,3.485,3.518,3.901,
Aug-2013,3.919,3.569,3.614,3.761,3.577,3.933,3.542,3.509,3.855,
Sep-2013,3.989,3.582,3.558,3.703,3.54,3.879,3.512,3.383,3.767,
Oct-2013,3.829,3.41,3.388,3.518,3.318,3.7,3.317,3.18,3.567,
Nov-2013,3.641,3.231,3.377,3.419,3.143,3.633,3.231,3.104,3.373,
Dec-2013,3.642,3.122,3.516,3.52,3.113,3.736,3.281,3.171,3.348,
Jan-2014,3.666,3.238,3.486,3.527,3.272,3.734,3.336,3.187,3.366,
Feb-2014,3.726,3.346,3.467,3.488,3.343,3.722,3.493,3.213,3.379,
Mar-2014,3.984,3.635,3.621,3.586,3.558,3.822,3.629,3.373,3.619,
Apr-2014,4.21,3.587,3.795,3.662,3.569,3.882,3.737,3.541,3.829,
May-2014,4.22,3.522,3.74,3.737,3.548,3.952,3.763,3.522,3.911,
Jun-2014,4.163,3.571,3.67,3.745,3.599,3.949,3.843,3.55,3.994,
Jul-2014,4.11,3.658,3.603,3.746,3.506,3.936,3.512,3.513,3.99,
Aug-2014,3.961,3.691,3.435,3.606,3.397,3.799,3.499,3.366,3.91,
Sep-2014,3.821,3.625,3.396,3.534,3.325,3.685,3.396,3.281,3.82,
Oct-2014,3.585,3.29,3.261,3.345,3.111,3.547,3.085,3.056,3.466,
Nov-2014,3.234,3.021,2.974,3.062,2.922,3.342,2.888,2.781,3.149,
Dec-2014,2.916,2.548,2.681,2.787,2.468,3.065,2.425,2.392,2.859,
Jan-2015,2.596,1.994,2.269,2.347,2.02,2.629,1.998,1.976,2.351,
Feb-2015,2.756,2.092,2.307,2.255,2.216,2.519,2.302,2.089,2.287,
Mar-2015,3.388,2.277,2.544,2.44,2.438,2.666,2.409,2.303,2.786,
Apr-2015,3.261,2.366,2.582,2.468,2.364,2.701,2.448,2.326,2.784,
May-2015,3.804,2.608,2.693,2.704,2.594,2.897,2.636,2.529,3.028,
Jun-2015,3.596,2.7,2.768,2.804,2.709,2.984,2.85,2.641,3.152,
Jul-2015,3.812,2.799,2.697,2.805,2.749,2.991,2.703,2.604,3.221,
Aug-2015,3.594,2.883,2.473,2.614,2.632,2.806,2.592,2.424,3.102,
Sep-2015,3.175,2.658,2.259,2.388,2.359,2.567,2.348,2.158,2.764,
Oct-2015,2.945,2.38,2.255,2.262,2.456,2.442,2.421,2.101,2.504,
Nov-2015,2.819,2.103,2.215,2.224,2.197,2.409,2.123,1.993,2.494,
Dec-2015,2.776,1.963,2.131,2.168,1.95,2.348,1.984,1.89,2.451,
Jan-2016,2.823,1.898,2.028,2.063,1.818,2.233,1.826,1.793,2.39,
Feb-2016,2.477,1.71,1.874,1.925,1.666,2.07,1.719,1.648,2.111,
Mar-2016,2.679,1.993,2.08,1.994,2.007,2.121,1.998,1.855,2.235,
Apr-2016,2.822,2.098,2.16,2.175,2.02,2.307,2.163,1.986,2.349,
May-2016,2.855,2.264,2.314,2.35,2.23,2.461,2.404,2.122,2.567,
Jun-2016,2.93,2.353,2.418,2.415,2.315,2.504,2.633,2.229,2.68,
Jul-2016,2.911,2.297,2.275,2.342,2.18,2.462,2.219,2.144,2.7,
Aug-2016,2.745,2.213,2.215,2.228,2.205,2.391,2.236,2.073,2.615,
Sep-2016,2.803,2.272,2.299,2.256,2.232,2.387,2.221,2.07,2.707,
Oct-2016,2.862,2.264,2.335,2.309,2.203,2.438,2.256,2.125,2.747,
Nov-2016,2.788,2.163,2.244,2.284,2.055,2.467,2.183,2.051,2.689,
Dec-2016,2.738,2.178,2.388,2.33,2.168,2.511,2.392,2.122,2.601,
Jan-2017,2.848,2.334,2.487,2.401,2.363,2.609,2.314,2.234,2.743,
Feb-2017,2.946,2.269,2.379,2.35,2.319,2.544,2.201,2.171,2.761,
Mar-2017,3.059,2.276,2.386,2.334,2.313,2.503,2.277,2.187,2.86,
Apr-2017,3.067,2.381,2.539,2.414,2.361,2.583,2.456,2.313,2.938,
May-2017,3.101,2.419,2.458,2.477,2.354,2.589,2.382,2.281,2.934,
Jun-2017,3.08,2.394,2.413,2.433,2.321,2.554,2.33,2.244,2.878,
Jul-2017,3.005,2.321,2.303,2.388,2.29,2.502,2.313,2.168,2.841,
Aug-2017,3.073,2.41,2.402,2.454,2.359,2.561,2.36,2.263,2.922,
Sep-2017,3.22,2.624,2.821,2.833,2.521,2.875,2.496,2.609,3.095,
Oct-2017,3.137,2.551,2.571,2.722,2.449,2.717,2.459,2.399,2.981,
Nov-2017,3.294,2.635,2.587,2.696,2.555,2.729,2.628,2.375,3.028,
Dec-2017,3.187,2.561,2.5,2.651,2.46,2.68,2.413,2.302,2.986,
Jan-2018,3.269,2.52,2.62,2.662,2.533,2.745,2.538,2.391,2.966,
Feb-2018,3.418,2.547,2.704,2.707,2.603,2.797,2.447,2.402,3.027,
Mar-2018,3.476,2.501,2.649,2.664,2.549,2.753,2.531,2.43,3.101,
Apr-2018,3.617,2.674,2.793,2.786,2.587,2.918,2.731,2.598,3.261,
May-2018,3.69,2.866,2.871,2.954,2.785,3.05,2.848,2.742,3.389,
Jun-2018,3.673,2.931,2.8,2.976,2.815,3.054,2.727,2.77,3.42,
Jul-2018,3.605,2.872,2.783,2.952,2.786,2.993,2.795,2.682,3.381,
Aug-2018,3.556,2.856,2.79,2.941,2.785,2.978,2.788,2.643,3.343,
Sep-2018,3.588,2.957,2.791,2.923,2.772,2.976,2.79,2.628,3.353,
Oct-2018,3.76,3.007,2.819,2.907,2.818,2.977,2.716,2.643,3.453,
Nov-2018,3.632,2.816,2.569,2.8,2.581,2.864,2.434,2.384,3.42,
Dec-2018,3.368,2.477,2.306,2.649,2.25,2.673,2.09,2.074,3.146,
Jan-2019,3.232,2.19,2.223,2.499,2.071,2.517,2.018,1.977,2.916,
Feb-2019,3.236,2.131,2.316,2.433,2.178,2.47,2.256,2.08,2.818,
Mar-2019,3.342,2.398,2.577,2.516,2.478,2.622,2.461,2.33,2.905,
Apr-2019,3.894,2.729,2.769,2.725,2.714,2.84,2.675,2.589,3.313,
May-2019,4.019,2.92,2.709,2.894,2.745,2.967,2.715,2.602,3.513,
Jun-2019,3.787,2.876,2.542,2.791,2.64,2.86,2.61,2.437,3.392,
Jul-2019,3.668,2.733,2.641,2.779,2.622,2.868,2.754,2.52,3.242,
Aug-2019,3.555,2.608,2.451,2.746,2.572,2.822,2.631,2.405,3.17,
Sep-2019,3.687,2.692,2.472,2.661,2.533,2.728,2.595,2.358,3.134,
Oct-2019,4.116,2.822,2.46,2.638,2.52,2.676,2.563,2.324,3.294,
Nov-2019,3.944,2.89,2.426,2.631,2.486,2.675,2.529,2.299,3.348,
Dec-2019,3.61,2.843,2.496,2.627,2.418,2.67,2.61,2.285,3.163,
Jan-2020,3.489,2.708,2.529,2.648,2.435,2.706,2.52,2.292,3.029,
Feb-2020,3.447,2.574,2.403,2.584,2.325,2.604,2.374,2.161,2.994,
Mar-2020,3.262,2.265,2.207,2.385,2.11,2.452,1.995,2.008,2.888,
Apr-2020,2.827,1.89,1.886,2.015,1.622,2.205,1.499,1.595,2.455,
May-2020,2.771,1.858,1.85,2,1.731,2.161,1.872,1.562,2.356,
Jun-2020,2.972,2.397,2.026,2.116,2.032,2.229,2.114,1.804,2.574,
Jul-2020,3.102,2.562,2.141,2.178,2.101,2.277,2.149,1.933,2.737,
Aug-2020,3.156,2.494,2.145,2.185,2.087,2.266,2.132,1.918,2.79,
