GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,
Alabama,33279,33805,34318,34381,34866,34885,35095,35165,35571,35873,35507,36323,35900,36009,36176,35959,36269,36846,37312,37763,38200,38465,38729,38699,38849,38941,39004,39243,39823,40112,40305,40731,41148,41409,41675,42162,42770,43027,43270,43526,43911,47768,45502,44863,51736,47230,47400,48022,
Alaska,48911,49464,50024,50402,51408,52306,52942,53588,53535,53819,53460,54042,52634,52545,53053,53253,54867,55703,56133,56658,57500,57657,57566,57444,56378,56160,56218,56553,56564,56869,57597,58164,58846,59239,60258,60717,61074,61416,61863,62135,61899,66492,62293,62708,69497,66108,66199,66713,
Arizona,33283,33749,34064,34383,35033,35180,35396,35606,36104,36470,36217,37364,36701,37090,37254,37427,38134,38522,38928,39396,39931,40287,40329,40721,40953,41355,41720,41857,42608,42966,43597,43955,44688,44994,45551,45890,46678,46972,47404,47847,48413,53994,52153,50759,56965,52985,53331,53884,
Arkansas,31572,32294,32800,32829,33936,33959,34421,34822,35988,36556,36187,37595,36500,36639,36803,36739,37782,38584,38972,39610,39444,39792,40191,40412,40542,40797,40915,41214,41757,41871,42027,42567,42986,43338,43849,44447,44739,44771,45134,45455,45776,50314,47019,46888,53960,49908,50181,50500,
California,42516,43116,43178,44125,45297,45368,45770,45765,47180,47675,47567,50008,47595,48314,48707,49335,49948,50807,51803,52465,53646,54402,54835,55307,55924,56209,56808,57297,57841,58456,59085,59890,60344,61195,61992,62543,63473,64086,64411,65341,66312,70714,72170,70735,77999,74972,76182,76319,
Colorado,39934,40380,40991,41818,43175,43513,43964,43966,44951,45360,45076,47067,46530,47185,47656,48191,49665,50524,51068,51790,52260,52472,52333,52320,51906,52048,52535,53113,54091,54807,55582,56626,57316,58040,58942,59646,60600,60737,61410,61610,62460,66212,63581,63948,70603,67753,68556,69113,
Connecticut,60734,61962,62265,62044,62425,63425,63589,63077,63486,64142,63383,65474,62284,62500,62717,63057,64101,65085,65997,66823,66673,67108,67439,68040,68582,68683,68668,68707,69150,69996,70372,71051,72123,72718,73919,73984,74909,74796,74688,75247,75754,79091,77866,77663,83809,80876,81377,82204,
Delaware,39882,40561,41423,41845,43600,43845,44189,44184,43558,44017,43685,44961,43934,44414,44454,44767,45293,45805,46264,46654,47368,48004,47868,48221,48040,48564,48948,49344,49926,50056,50809,51197,51995,52503,53223,53573,53384,53452,53538,53702,54532,57562,55636,55398,61569,57827,57974,58584,
District of Columbia,62226,63128,63649,64365,66600,66827,67288,67231,67945,68239,67301,69029,67577,67834,67687,68161,70375,71148,71935,72280,75047,75691,75888,75979,77551,78066,78252,78898,79152,79541,80316,80957,81470,82040,83224,83455,82546,82899,83411,84113,85195,91917,91340,90650,97423,95909,97079,96954,
Florida,37958,38679,39182,39600,40139,40473,40605,40778,41071,41304,41135,42596,40808,41006,41224,41517,42399,43236,43820,44479,45182,45584,45767,46010,45883,46179,46686,47083,48028,48807,49329,49943,50684,51074,51771,52245,52979,53229,53397,53816,54395,57804,56514,55563,62935,59522,59886,60631,
Georgia,34322,34635,34986,35350,36589,36689,37036,37017,37206,37338,37178,38279,37436,37761,37822,38090,39061,39712,40256,40777,41454,41822,42133,42300,42753,42773,43072,43542,44390,44731,45068,45777,46155,46569,47188,47343,48249,48605,48809,49136,49464,54020,52376,50910,58088,54242,54096,54698,
Hawaii,41015,41355,41835,42048,42669,42667,42749,43119,43511,43875,43573,44273,43615,43773,44011,44397,45157,45848,46373,46736,47244,47645,47906,48311,48678,48968,49298,49671,50521,50892,51323,51437,51641,52071,52392,52646,53234,53622,54184,54456,54623,60581,56355,55766,62575,59171,59798,59941,
Idaho,31467,31872,32328,32696,33317,33462,33720,33820,34447,34840,34891,36185,35526,36095,36303,36391,36770,37509,37884,38519,39282,39229,39488,39387,39728,40033,40264,40290,40790,41445,41739,42271,42874,43136,43372,43955,44789,45091,45418,45689,46456,50279,47550,48302,54573,50064,50101,50770,
Illinois,41436,42080,42613,42965,43989,44100,44326,44357,45434,45905,45650,47096,46557,46997,47155,47496,48279,48962,49501,50202,50820,51279,51740,51926,51756,51850,51985,52531,52760,53354,53911,54550,55568,56284,56777,57398,57877,57959,58411,58835,59420,63808,62564,62061,69523,65972,66514,66310,
Indiana,34937,35593,35918,36310,37123,37519,38165,38385,38798,39326,39370,40178,39824,39785,39753,39703,40343,41037,41464,41910,42157,42605,42765,43084,43170,43489,43789,44117,44451,44912,45252,45785,46587,46864,47209,47733,48391,48559,48853,49213,49801,53398,51655,51845,59090,54786,55251,55451,
Iowa,37586,38200,38540,38892,40544,40667,41317,41634,42353,42966,42540,43551,43321,43491,43601,43324,43729,44753,44980,45332,45753,45881,46317,46449,46197,46140,46431,46372,47028,47196,47162,47765,48364,48841,49216,50376,49862,49574,50501,50655,50815,55690,52309,53329,59631,56528,56112,55583,
Kansas,38881,39674,40352,40976,42042,42890,43493,43572,45277,45297,44518,46111,45367,46279,46344,46684,46025,46831,47417,47732,47368,47389,47371,47230,46806,47186,47542,47780,48236,48498,48776,49454,49990,50546,51042,51659,52337,52362,53030,53489,53730,58057,54802,56065,61494,58417,58778,58562,
Kentucky,32811,33354,33696,33800,34341,34589,34956,35317,35602,35896,35688,36283,36018,36013,36092,36130,36904,37495,37838,38308,38736,39159,39362,39656,39333,39579,40005,40047,40416,40591,40840,41244,41450,41902,42099,42446,43172,43423,43737,44164,44569,50375,46598,46629,53492,49069,49959,50236,
Louisiana,37475,38048,38703,38780,38886,38953,39196,39465,40331,41037,40799,41819,41190,41366,41409,41534,42319,42974,43371,43635,43078,42996,43127,43257,42355,42566,42774,43281,43645,43800,44258,44574,45350,45938,46281,46642,47330,47392,47635,48056,48360,54142,51439,49304,56747,53225,53936,53712,
